site_id,n_years_used,mat_degc,map_mm,kg_class,kg_second,kg_main,koppen_class,koppen_twoletter,koppen_main,koppen_method,koppen_class_code,koppen_class_name,koppen_main_name,badm_kg_class,beck2023_kg_class,agree_badm,agree_beck2023
JP-Sb2,27,5.323660493827161,4187.484888888888,Dfb,Df,D,Dfb,Df,D,era5_local,26,"Cold, no dry season, warm summer",Cold,Dfb,Dfb,TRUE,TRUE
JP-Shn,0,NA,NA,NA,NA,NA,NA,NA,NA,era5_local,NA,NA,NA,Dfa,Dfa,NA,NA
JP-Spp,30,7.411608333333334,1191.5768666666668,Dfb,Df,D,Dfb,Df,D,era5_local,26,"Cold, no dry season, warm summer",Cold,Dfb,Dfb,TRUE,TRUE
JP-Srk,30,7.946458333333333,2521.6108666666664,Dfb,Df,D,Dfb,Df,D,era5_local,26,"Cold, no dry season, warm summer",Cold,Dfa,Dfa,FALSE,FALSE
JP-Ta2,30,9.209722222222222,1755.0042333333333,Dfb,Df,D,Dfb,Df,D,era5_local,26,"Cold, no dry season, warm summer",Cold,Dfb,Dfa,TRUE,FALSE
JP-Tak,0,NA,NA,NA,NA,NA,NA,NA,NA,era5_local,NA,NA,NA,Dfb,Dfb,NA,NA
JP-Tef,30,5.698475,926.4751666666667,Dfb,Df,D,Dfb,Df,D,era5_local,26,"Cold, no dry season, warm summer",Cold,Dfb,Dfb,TRUE,TRUE
JP-Tkb,0,NA,NA,NA,NA,NA,NA,NA,NA,era5_local,NA,NA,NA,Cfa,Cfa,NA,NA
JP-Tmd,22,6.3695643939393944,4355.010045454546,Dfb,Df,D,Dfb,Df,D,era5_local,26,"Cold, no dry season, warm summer",Cold,Dfb,Dfb,TRUE,TRUE
JP-Tmk,22,7.093125,4355.010045454546,Dfb,Df,D,Dfb,Df,D,era5_local,26,"Cold, no dry season, warm summer",Cold,Dfb,Dfb,TRUE,TRUE
JP-Toc,22,7.222795454545455,4355.015681818182,Dfb,Df,D,Dfb,Df,D,era5_local,26,"Cold, no dry season, warm summer",Cold,Dfb,Dfb,TRUE,TRUE
JP-Yms,0,NA,NA,NA,NA,NA,NA,NA,NA,era5_local,NA,NA,NA,Cfa,Cfa,NA,NA
JP-Ynf,0,NA,NA,NA,NA,NA,NA,NA,NA,era5_local,NA,NA,NA,Cfa,Cfa,NA,NA
KE-Aq1,30,17.908672222222222,2703.4056000000005,Cfb,Cf,C,Cfb,Cf,C,era5_local,15,"Temperate, no dry season, warm summer",Temperate,Aw,Cwb,FALSE,FALSE
KE-Aq2,30,19.233338888888888,2703.4056000000005,Cfb,Cf,C,Cfb,Cf,C,era5_local,15,"Temperate, no dry season, warm summer",Temperate,Aw,Cwb,FALSE,FALSE
KE-Chk,30,22.865222222222222,436.1654333333334,BSh,BS,B,BSh,BS,B,era5_local,6,"Arid, steppe, hot",Arid,Bsh,Aw,FALSE,FALSE
KE-Kpt,30,18.076183333333333,3002.6111666666666,Cwb,Cw,C,Cwb,Cw,C,era5_local,12,"Temperate, dry winter, warm summer",Temperate,NA,Cwb,NA,TRUE
KE-Mkt,30,21.92071388888889,287.7273333333333,BWh,BW,B,BWh,BW,B,era5_local,4,"Arid, desert, hot",Arid,Bsh,Aw,FALSE,FALSE
KH-Kmp,0,NA,NA,NA,NA,NA,NA,NA,NA,era5_local,NA,NA,NA,NA,Aw,NA,NA
KR-AdC,30,12.478880555555556,1130.5095999999999,Cfa,Cf,C,Cfa,Cf,C,era5_local,14,"Temperate, no dry season, hot summer",Temperate,Cfb,Cwa,FALSE,FALSE
KR-CRK,30,10.247697222222222,1473.6751666666664,Dwa,Dw,D,Dwa,Dw,D,era5_local,21,"Cold, dry winter, hot summer",Cold,Dwa,Dwa,TRUE,TRUE
KR-CmF,30,10.806269444444444,887.1627000000001,Dwa,Dw,D,Dwa,Dw,D,era5_local,21,"Cold, dry winter, hot summer",Cold,Dwa,Dwa,TRUE,TRUE
KR-GmP,30,12.339641666666667,1183.7456000000002,Dfa,Df,D,Dfa,Df,D,era5_local,25,"Cold, no dry season, hot summer",Cold,Dfa,Cfa,TRUE,FALSE
KR-GmR,30,12.467786111111112,855.4794666666666,Dfa,Df,D,Dfa,Df,D,era5_local,25,"Cold, no dry season, hot summer",Cold,Dfa,Cfa,TRUE,FALSE
KR-GmS,30,12.366894444444444,1091.9351333333334,Dfa,Df,D,Dfa,Df,D,era5_local,25,"Cold, no dry season, hot summer",Cold,Dfa,Cfa,TRUE,FALSE
KR-HPK,30,13.614927777777778,917.2693,Cfa,Cf,C,Cfa,Cf,C,era5_local,14,"Temperate, no dry season, hot summer",Temperate,Cfa,Cfa,TRUE,TRUE
KR-HcM,30,9.569127777777778,1108.4790333333333,Dwa,Dw,D,Dwa,Dw,D,era5_local,21,"Cold, dry winter, hot summer",Cold,Dwa,Dwa,TRUE,TRUE
KR-Hnm,20,13.945420833333333,4033.2156,Cfa,Cf,C,Cfa,Cf,C,era5_local,14,"Temperate, no dry season, hot summer",Temperate,Cfa,Cfa,TRUE,TRUE
KR-JjM,30,11.760425,3410.1683666666663,Cfa,Cf,C,Cfa,Cf,C,era5_local,14,"Temperate, no dry season, hot summer",Temperate,Cfa,Cfa,TRUE,TRUE
KR-Kw1,30,11.253569444444445,1376.1622666666667,Dwa,Dw,D,Dwa,Dw,D,era5_local,21,"Cold, dry winter, hot summer",Cold,Dwa,Dwa,TRUE,TRUE
KR-Kw2,30,10.463141666666667,1286.2524000000003,Dwa,Dw,D,Dwa,Dw,D,era5_local,21,"Cold, dry winter, hot summer",Cold,Dwa,Dwa,TRUE,TRUE
KR-Nj1,21,14.01222619047619,4075.770666666666,Cfa,Cf,C,Cfa,Cf,C,era5_local,14,"Temperate, no dry season, hot summer",Temperate,Cfa,Cfa,TRUE,TRUE
KR-Nj2,21,13.982734126984127,4075.770666666666,Cfa,Cf,C,Cfa,Cf,C,era5_local,14,"Temperate, no dry season, hot summer",Temperate,Cfa,Cfa,TRUE,TRUE
KR-PcD,30,5.1013527777777785,808.1656999999999,Dfb,Df,D,Dfb,Df,D,era5_local,26,"Cold, no dry season, warm summer",Cold,Dwa,Dwb,FALSE,FALSE
KR-ScC,30,12.303633333333334,1278.1100666666664,Cfa,Cf,C,Cfa,Cf,C,era5_local,14,"Temperate, no dry season, hot summer",Temperate,Dwa,Dfa,FALSE,FALSE
KR-SmM,30,10.601141666666667,960.8168000000002,Dwa,Dw,D,Dwa,Dw,D,era5_local,21,"Cold, dry winter, hot summer",Cold,Dwa,Dwa,TRUE,TRUE
KR-TwB,21,11.838789682539684,4045.1193333333335,Dwa,Dw,D,Dwa,Dw,D,era5_local,21,"Cold, dry winter, hot summer",Cold,Dwa,Dwa,TRUE,TRUE
