site_id,data_hub,igbp,un_subregion,continent,first_year,last_year,span_years,n_years_valid_nee,pct_coverage,currently_selected,gez_name,gez_code,kg_class,kg_second,kg_main,mat_worldclim,map_worldclim,aridity_index,aridity_class
CA-EM2,AmeriFlux,WET,Northern America,Americas,2021,2023,2,2,100,FALSE,Temperate steppe,33,Dfb,Df,D,1.3348332643508911,480,0.6595,Humid
CA-Na1,AmeriFlux;Fluxnet-Canada,ENF,Northern America,Americas,2003,2005,2,2,100,FALSE,Temperate continental forest,32,Dfb,Df,D,3.251166820526123,1147,1.6822,Humid
CA-Qc2,AmeriFlux;Fluxnet-Canada,MF,Northern America,Americas,2007,2010,3,2,66.7,FALSE,Boreal coniferous forest,41,NA,NA,NA,-0.3213333785533905,965,1.6634,Humid
CA-RBM,AmeriFlux,WET,Northern America,Americas,2022,2024,2,2,100,FALSE,NA,NA,Csb,Cs,C,10.431547164916992,1180,1.4918,Humid
CL-ACF,AmeriFlux,ENF,Latin America and the Caribbean,Americas,2018,2020,2,2,100,FALSE,Temperate oceanic forest,31,Cfb,Cf,C,7.387666702270508,1914,2.7265,Humid
MX-Aog,AmeriFlux;MexFlux,DBF,Latin America and the Caribbean,Americas,2016,2018,2,2,100,FALSE,Tropical dry forest,13,Bsh,Bs,B,23.72516632080078,689,0.3655,Semi-arid
PR-xLA,AmeriFlux;NEON;Phenocam,GRA,Latin America and the Caribbean,Americas,2019,2024,5,2,40,FALSE,Tropical moist forest,12,Am,Am,A,26.04716682434082,1047,0.5993,Dry sub-humid
US-AR1,AmeriFlux,GRA,Northern America,Americas,2009,2012,3,2,66.7,FALSE,Temperate steppe,33,Dsa,Ds,D,14.444499969482422,584,0.3371,Semi-arid
US-AR2,AmeriFlux,GRA,Northern America,Americas,2009,2012,3,2,66.7,FALSE,Temperate steppe,33,Dsa,Ds,D,14.230666160583496,600,0.3428,Semi-arid
US-BRG,AmeriFlux,GRA,Northern America,Americas,2017,2020,3,2,66.7,FALSE,Temperate continental forest,32,Cfa,Cf,C,11.516833305358888,1103,1.0571,Humid
