site_id,location_lat,location_long,trendy_nee_median_value,trendy_nee_median_method,trendy_nee_median_bin,trendy_nee_median_bin_label,trendy_nee_median_bin_30
US-RGo,39.6805,-122.0026,40.197940826416016,exact,4,31.7–41.8 gC m-2 yr-1,15
US-RGW,33.6216,-91.4306,65.06080627441406,exact,6,54.3–70.2 gC m-2 yr-1,24
US-Rls,43.1439,-116.7356,27.956377029418945,exact,3,20.5–31.7 gC m-2 yr-1,9
US-Rms,43.0645,-116.7486,27.956377029418945,exact,3,20.5–31.7 gC m-2 yr-1,9
US-Ro1,44.7143,-93.0898,39.060001373291016,exact,4,31.7–41.8 gC m-2 yr-1,15
US-Ro2,44.7288,-93.0888,39.060001373291016,exact,4,31.7–41.8 gC m-2 yr-1,15
US-Ro3,44.7217,-93.0893,39.060001373291016,exact,4,31.7–41.8 gC m-2 yr-1,15
US-Ro4,44.6781,-93.0723,39.060001373291016,exact,4,31.7–41.8 gC m-2 yr-1,15
US-Ro5,44.691,-93.0576,39.060001373291016,exact,4,31.7–41.8 gC m-2 yr-1,15
US-Ro6,44.6946,-93.0578,39.060001373291016,exact,4,31.7–41.8 gC m-2 yr-1,15
