site_id,location_lat,location_long,koppen_class_code,koppen_class,koppen_class_name,koppen_main,koppen_main_name,koppen_method
US-UMB,45.55979919433594,-84.71379852294922,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
US-Var,38.413299560546875,-120.9507293701172,8,Csa,"Temperate, dry summer, hot summer",C,Temperate,exact
US-WBW,35.95880126953125,-84.28739929199219,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
US-WCr,45.80590057373047,-90.07990264892578,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
US-Wi0,46.61880111694336,-91.0813980102539,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
US-Wi1,46.730499267578125,-91.23290252685548,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
US-Wi2,46.6869010925293,-91.152801513671875,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
US-Wi4,46.73929977416992,-91.16629791259766,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
US-Wi5,46.653099060058594,-91.08580017089844,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
US-Wi6,46.624900817871094,-91.29820251464844,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
US-Wi7,46.64910125732422,-91.06929779052734,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
US-Wi8,46.7223014831543,-91.25240325927734,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
US-Wi9,46.61880111694336,-91.0813980102539,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
US-Wkg,31.736499786376953,-109.94200134277344,6,BSh,"Arid, steppe, hot",B,Arid,exact
