site_id,igbp_class,location_lat,location_long,n_years_nee,n_years_gpp,n_years_ter,n_years_le,n_years_h,nep_median,gpp_median,ter_median,et_median,h_median,nep_source,gpp_source,ter_source,gpp_partition,ter_partition,vut_frac_nee
US-Fwf,GRA,35.4454,-111.7718,5,5,5,5,5,-64.9559,384.911,469.022,404.9715964408163,30.2722,VUT,VUT,VUT,NT,NT,1
US-GLE,ENF,41.3665,-106.2399,13,13,13,15,15,9.75326,747.18,683.966,551.932119477551,36.0267,BOTH,BOTH,BOTH,NT,NT,0.9230769230769231
US-Ha1,DBF,42.5378,-72.1715,26,26,26,29,33,247.36649999999997,1526.145,1186.7649999999999,441.79609547755103,29.7547,BOTH,BOTH,BOTH,NT,NT,0.9615384615384616
US-HB1,WET,33.3455,-79.1957,6,6,6,6,6,360.91499999999996,920.6469999999999,724.5645,917.157884767347,19.9722,VUT,VUT,VUT,NT,NT,1
US-HB2,ENF,33.3242,-79.244,6,6,6,6,6,591.78,2147.495,1625.87,811.9905726857144,31.0896,VUT,VUT,VUT,NT,NT,1
US-HB3,ENF,33.3482,-79.2322,6,6,6,6,6,-61.10894999999999,1808.4650000000001,1895.28,637.7855363265305,34.5207,VUT,VUT,VUT,NT,NT,1
US-HB4,WET,33.2015,-79.2975,4,4,4,4,4,175.9655,792.5450000000001,560.8665,973.9776655836733,17.851100000000002,VUT,VUT,VUT,NT,NT,1
US-HBK,DBF,43.9397,-71.7181,2,2,2,2,3,587.9125,2025.23,1369.17,640.9303477714286,9.34613,VUT,VUT,VUT,NT,NT,1
US-Hn2,GRA,46.6889,-119.4641,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-Hn3,OSH,46.6878,-119.4614,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-Ho2,ENF,45.209,-68.747,22,18,18,23,24,329.485,1583.73,1252.51,383.4274161306123,33.835449999999994,CUT,CUT,CUT,NT,NT,0
US-Ho3,ENF,45.2072,-68.7265,0,0,0,9,9,NA,NA,NA,315.7421604244898,28.429,NA,NA,NA,NA,NA,NA
US-HRA,CRO,34.5852,-91.7517,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-HRC,CRO,34.5888,-91.7517,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-Hsm,WET,38.2368,-122.0212,4,4,3,4,4,-330.3905,332.406,688.774,1186.9657042775511,13.582899999999999,VUT,VUT,VUT,NT,NT,1
US-HVs,WET,69.1672,-148.8569,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-HWB,CVM,40.8608,-77.8488,2,2,2,2,2,-70.408,1636.955,1731.51,546.2446671183674,10.72334,VUT,VUT,VUT,NT,NT,1
US-IAB,CRO,42.0001,-93.7016,2,2,2,3,3,73.91055,1318.27,1242.8449999999998,574.4384845714286,18.1236,VUT,VUT,VUT,NT,NT,1
US-IAC,CRO,41.9984,-93.7016,3,3,3,3,3,448.357,1800.86,1330.48,587.3255779591836,21.4487,VUT,VUT,VUT,NT,NT,1
US-IAM,CRO,41.9994,-93.7042,3,3,3,3,3,704.007,2933.67,2250.77,737.5333136326531,17.906,BOTH,BOTH,BOTH,NT,NT,0.6666666666666666
US-ICh,OSH,68.6068,-149.2958,6,6,6,12,12,-37.3005,157.391,191.108,133.44163361632656,-2.90973,BOTH,BOTH,BOTH,NT,NT,0.8333333333333334
