site_id,data_hub,igbp,un_subregion,continent,first_year,last_year,span_years,n_years_valid_nee,pct_coverage,currently_selected,gez_name,gez_code
US-Mo2,AmeriFlux;LTAR;Phenocam,GRA,Northern America,Americas,2018,2024,6,6,100,FALSE,Temperate steppe,33
US-NC3,AmeriFlux;USCCC,ENF,Northern America,Americas,2013,2021,8,6,75,FALSE,Subtropical humid forest,21
US-ONA,AmeriFlux;LTAR,GRA,Northern America,Americas,2016,2022,6,6,100,FALSE,Subtropical humid forest,21
US-Prr,AmeriFlux,ENF,Northern America,Americas,2010,2022,12,6,50,FALSE,Boreal mountain system,43
US-UiE,AmeriFlux,CRO,Northern America,Americas,2018,2024,6,6,100,FALSE,Temperate steppe,33
US-xAE,AmeriFlux;NEON;Phenocam,GRA,Northern America,Americas,2019,2024,5,6,120,FALSE,Temperate steppe,33
US-xDC,AmeriFlux;NEON;Phenocam,GRA,Northern America,Americas,2019,2024,5,6,120,FALSE,Temperate steppe,33
US-xJR,AmeriFlux;NEON;Phenocam,OSH,Northern America,Americas,2019,2024,5,6,120,FALSE,Subtropical desert,24
US-xKZ,AmeriFlux;NEON;Phenocam,GRA,Northern America,Americas,2019,2024,5,6,120,FALSE,Temperate steppe,33
US-xSP,AmeriFlux;NEON;Phenocam,ENF,Northern America,Americas,2019,2024,5,6,120,FALSE,Subtropical mountain system,25
US-xUN,AmeriFlux;NEON;Phenocam,MF,Northern America,Americas,2019,2024,5,6,120,FALSE,Temperate continental forest,32
US-xWR,AmeriFlux;NEON;Phenocam,ENF,Northern America,Americas,2019,2024,5,6,120,FALSE,Temperate mountain system,35
AR-CCa,AmeriFlux,CRO,Latin America and the Caribbean,Americas,2012,2020,8,5,62.5,FALSE,Subtropical humid forest,21
CA-ARB,AmeriFlux,WET,Northern America,Americas,2011,2024,13,5,38.5,FALSE,Boreal tundra woodland,42
CA-DB2,AmeriFlux,WET,Northern America,Americas,2019,2024,5,5,100,FALSE,Temperate oceanic forest,31
CA-KLP,AmeriFlux,WET,Northern America,Americas,2011,2020,9,5,55.6,FALSE,Boreal tundra woodland,42
US-CdM,AmeriFlux,WSA,Northern America,Americas,2019,2024,5,5,100,FALSE,Temperate desert,34
US-Fmf,AmeriFlux,ENF,Northern America,Americas,2005,2010,5,5,100,FALSE,Subtropical mountain system,25
US-Fwf,AmeriFlux,GRA,Northern America,Americas,2005,2010,5,5,100,FALSE,Subtropical mountain system,25
US-StJ,AmeriFlux;Phenocam,WET,Northern America,Americas,2015,2020,5,5,100,FALSE,Subtropical humid forest,21
US-TKs,AmeriFlux,CSH,Northern America,Americas,2018,2025,7,5,71.4,FALSE,Polar,50
US-UC1,AmeriFlux;LTAR,CVM,Northern America,Americas,2019,2024,5,5,100,FALSE,Temperate mountain system,35
US-UC2,AmeriFlux;LTAR,CVM,Northern America,Americas,2019,2024,5,5,100,FALSE,Temperate mountain system,35
