site_id,year,n_months_present,has_data
AU-Stp,2024,12,TRUE
AU-Stp,2025,6,TRUE
AU-TTE,2012,6,TRUE
AU-TTE,2013,12,TRUE
AU-TTE,2014,12,TRUE
AU-TTE,2015,12,TRUE
AU-TTE,2016,12,TRUE
AU-TTE,2017,12,TRUE
AU-TTE,2018,12,TRUE
AU-TTE,2019,12,TRUE
AU-TTE,2020,1,TRUE
AU-TTE,2021,12,TRUE
AU-TTE,2022,1,TRUE
AU-TTE,2023,0,FALSE
AU-TTE,2024,0,FALSE
AU-TTE,2025,7,TRUE
AU-Tum,2002,12,TRUE
AU-Tum,2003,12,TRUE
AU-Tum,2004,9,TRUE
AU-Tum,2005,12,TRUE
AU-Tum,2006,12,TRUE
AU-Tum,2007,12,TRUE
AU-Tum,2008,12,TRUE
AU-Tum,2009,12,TRUE
AU-Tum,2010,12,TRUE
AU-Tum,2011,12,TRUE
AU-Tum,2012,12,TRUE
AU-Tum,2013,12,TRUE
AU-Tum,2014,12,TRUE
AU-Tum,2015,12,TRUE
AU-Tum,2016,12,TRUE
AU-Tum,2017,12,TRUE
AU-Tum,2018,12,TRUE
AU-Tum,2019,12,TRUE
AU-Tum,2020,2,TRUE
AU-Tum,2021,12,TRUE
AU-Tum,2022,9,TRUE
AU-Wac,2005,3,TRUE
AU-Wac,2006,11,TRUE
AU-Wac,2007,10,TRUE
AU-Wac,2008,11,TRUE
AU-Wel,2024,12,TRUE
AU-Wel,2025,12,TRUE
AU-Wgt,2024,6,TRUE
AU-Wgt,2025,8,TRUE
AU-Whr,2011,1,TRUE
AU-Whr,2012,12,TRUE
AU-Whr,2013,12,TRUE
AU-Whr,2014,12,TRUE
AU-Whr,2015,12,TRUE
AU-Whr,2016,12,TRUE
AU-Whr,2017,7,TRUE
AU-Whr,2018,0,FALSE
AU-Whr,2019,7,TRUE
AU-Whr,2020,12,TRUE
AU-Whr,2021,12,TRUE
AU-Whr,2022,0,FALSE
AU-Whr,2023,6,TRUE
AU-Whr,2024,5,TRUE
AU-Whr,2025,12,TRUE
AU-Wom,2010,11,TRUE
AU-Wom,2011,12,TRUE
AU-Wom,2012,12,TRUE
AU-Wom,2013,12,TRUE
AU-Wom,2014,12,TRUE
AU-Wom,2015,12,TRUE
AU-Wom,2016,6,TRUE
AU-Wom,2017,11,TRUE
