site_id,data_hub,network,oneflux_code_version_manifest,release_version,product_id,location_lat,location_long,igbp,p_era_mean_mm,p_era_sd_mm,n_years_era_full_record,p_era_cv,p_measured_mean_mm,n_years_measured,n_years_fm_total,bio12_mm,badm_map_mm,elevation_m,oneflux_code_version,frac_measured,record_length_years,log_ratio_era_bio12,log_ratio_measured_bio12,log_ratio_era_measured,log_ratio_badm_bio12
AU-GWW,TERN,OzFlux,v1.3,r1,https://dx.doi.org/10.25901/683k-7e46,-30.1914,120.65417,EBF,332.6815555555556,100.83985022268895,45,0.30311223612710736,302.7175,12,13,264,NA,NA,1.3.4-rc,0.9230769230769231,13,0.10042479662450113,0.05943360123490132,0.04099119538959972,NA
AU-Gin,TERN,OzFlux,v1.3,r1,https://dx.doi.org/10.25901/sbym-ad50,-31.376351,115.71377,EBF,634.5036222222222,115.7393624753262,45,0.18240930141576212,617.1659999999999,13,15,699,NA,NA,1.3.4-rc,0.8666666666666667,15,-0.042043070029484084,-0.05407518320731048,0.01203211317782639,NA
AU-How,TERN,OzFlux,v1.3,r1,https://dx.doi.org/10.25901/8p4w-xa85,-12.4952,131.15005,WSA,1665.2580222222223,339.20861958243665,45,0.20369733402021142,1672.3571666666667,24,24,1647,NA,NA,1.3.4-rc,1,24,0.004787935336564168,0.006635436461473738,-0.0018475011249095895,NA
AU-Lit,TERN,TERN,v1.3,r1,https://dx.doi.org/10.25901/4vb1-tr22,-13.17904,130.79455,WSA,1631.7231333333334,285.2832487707771,45,0.1748355728633888,1629.138,10,11,1585,NA,NA,1.3.4-rc,0.9090909090909091,11,0.012617204122570426,0.011928607257540079,6.885968650304226e-4,NA
AU-Lon,TERN,OzFlux,v1.3,r1,https://dx.doi.org/10.25901/cdf2-d144,-23.52327,144.31042,GRA,290.061,119.50223891664503,45,0.41199002594849027,256.98133333333334,6,7,419,NA,NA,1.3.4-rc,0.8571428571428571,7,-0.15972468307574264,-0.21231244486750891,0.05258776179176626,NA
AU-Lox,TERN,OzFlux,v1.3,r1,https://dx.doi.org/10.25901/4xcf-9v74,-34.47035,140.65512,DBF,143.49022222222223,44.646346356107294,45,0.3111455656327846,NA,NA,2,277,NA,NA,1.3.4-rc,NA,2,-0.28565746088372074,NA,NA,NA
AU-MvA,TERN,OzFlux,v1.3,r1,https://dx.doi.org/10.25901/wcq3-1613,-30.543,150.02,CRO,592.9530888888889,148.07581668367516,45,0.24972602294921595,574.8,1,2,626,NA,NA,1.3.4-rc,0.5,2,-0.02355399742219093,-0.03705757374824167,0.013503576326050737,NA
AU-MvB,TERN,OzFlux,v1.3,r1,https://dx.doi.org/10.25901/pf5h-1t18,-30.697,150.09,CRO,628.5632666666667,158.29605330926893,45,0.2518379003417247,592.05,1,1,620,NA,NA,1.3.4-rc,1,1,0.005957307689018724,-0.020033304047057336,0.025990611736076023,NA
AU-Otw,TERN,OzFlux,v1.3,r1,https://dx.doi.org/10.25901/gjjp-c297,-38.525,142.81,GRA,724.7073636363637,107.56963410612289,44,0.1484318215926092,728.5273333333333,3,4,876,NA,NA,1.3.4-rc,0.75,4,-0.08234143203016361,-0.08005825563084387,-0.002283176399319714,NA
AU-RDF,TERN,OzFlux,v1.3,r1,https://dx.doi.org/10.25901/q42b-r648,-14.563639,132.477567,WSA,970.1503333333334,220.17579841819787,45,0.22695018581470486,900.5219999999999,2,3,955,NA,NA,1.3.4-rc,0.6666666666666666,3,0.0068356656498219665,-0.0255090443650164,0.03234471001483839,NA
AU-Rgf,TERN,OzFlux,v1.3,r1,https://dx.doi.org/10.25901/rs7z-7y12,-32.506102,116.966827,CVM,593.0128444444445,114.12746518316413,45,0.19245361420473583,598.7236,10,11,456,NA,NA,1.3.4-rc,0.9090909090909091,11,0.11409925746362731,0.11826153448537545,-0.00416227702174816,NA
AU-Rig,TERN,OzFlux,v1.3,r1,https://dx.doi.org/10.25901/nvg6-hr60,-36.6499,145.5759,GRA,482.53593333333333,127.48334596337742,45,0.2641945131064728,478.8161666666667,6,7,618,NA,NA,1.3.4-rc,0.8571428571428571,7,-0.10745881530058912,-0.11081966966272751,0.0033608543621383457,NA
AU-Rob,TERN,OzFlux,v1.3,r1,https://dx.doi.org/10.25901/4911-j064,-17.11746943,145.6301375,EBF,1869.2716,601.2494603000564,45,0.3216490638920831,2333.86525,12,13,2634,NA,NA,1.3.4-rc,0.9230769230769231,13,-0.14894336287366008,-0.05253999298274525,-0.0964033698909148,NA
