site_id,n_years_used_5000,n_years_used_noscreen,log_ratio_era_bio12
ES-Srn,30,30,0.6908350479692787
ES-TzM,30,30,0.5405872208388492
ES-VDA,30,30,-0.10245462824293265
ES-Yst,30,30,-0.04250286024815598
FI-Ant,30,30,-0.14446574038477433
FI-Jok,30,30,0.6295476683247254
FI-Nsv,30,30,0.6359731530662361
FI-Pap,30,30,-0.12609364130108408
FI-Qvd,30,30,0.012000089824677573
FI-Rk2,30,30,-0.059375142554675325
FI-Ruk,30,30,0.6317939269103707
FI-Sar,30,30,-0.07663809639514581
FI-Sii,30,30,-0.04939370434232088
FI-Sod,30,30,-0.015310317552534258
FR-FBn,30,30,-0.05505342286090715
FR-Fon,30,30,-0.09111498433700256
FR-LBr,30,30,0.05374675302489337
FR-Lam,30,30,-0.06593207246438137
FR-Lqu,30,30,0.16759274284281364
FR-Lus,30,30,-0.027179984899403178
FR-Mau,30,30,-0.13559887657213762
FR-Nzn,30,30,-0.0014810792695745798
GH-Ank,30,30,0.004838980957370998
GL-ZaF,30,30,0.49489982896227713
ID-JOP,30,30,-0.1005616439157514
ID-PaB,30,30,0.028514463096909522
ID-PaD,30,30,0.02041033410837423
ID-Pag,30,30,0.0362699102006235
IE-CaC,30,30,-0.24085200113284197
IE-CaN,30,30,-0.24085200113284197
IE-Gwr,30,30,0.5287889433971558
IL-RmH,30,30,-0.00947249641791301
IL-Yat,30,30,-0.10598178596351666
IT-Arz,26,30,0.6198927040251706
IT-BsB,30,30,-0.07573495341130515
IT-Bsn,30,30,-0.2041601232265103
IT-CA1,30,30,0.3245912922674539
IT-CA2,30,30,0.32591243657908725
IT-CA3,30,30,0.2910561841255365
IT-Lav,30,30,0.2739106386189026
IT-NiG,30,30,-0.13740109886526705
IT-SRo,30,30,0.014583351960855901
JP-BBY,30,30,0.5364382642057817
JP-Fhk,30,30,0.035259445625280085
JP-Fjy,30,30,0.06366609382057553
JP-Fmt,0,30,0.5895836958671044
JP-Hc2,20,30,0.5146520846965342
JP-Hc3,20,30,0.5158711577268968
JP-KaP,0,30,0.5888850137692081
JP-Khw,30,30,0.03186571709332553
JP-Kzw,0,30,0.5487996157742192
JP-MBF,0,30,0.6421592394517781
JP-MMF,30,30,-0.008255980789095488
JP-Mse,0,30,0.5915258951654593
JP-NsC,30,30,0.37296434169331993
