site_id,n_years_era5,map_era5_after,bio12_mm,badm_map_mm,map_era5_before,ratio_to_bio12_after,ratio_to_badm_after,factor_estimate_after,nearest_cluster_after
CA-TPA,30,1108.8337333333334,970,956,1108.8337333333334,1.143127560137457,1.1598679218967922,1.1514977410171245,elsewhere
CA-TPD,30,931.4757333333333,986,1036,931.4757333333332,0.9447015551048006,0.8991078507078507,0.9219047029063256,1
CA-TVC,30,104.27626666666667,219,240.6,104.27626666666669,0.47614733637747336,0.4334009420892214,0.4547741392333474,elsewhere
CD-Ygb,30,2433.6066,1774,1811.7,2433.6066,1.3718188275084555,1.3432723960920683,1.357545611800262,elsewhere
CG-Tch,30,1590.3380666666667,1320,1150,1590.3380666666667,1.2048015656565656,1.3829026666666666,1.293852116161616,elsewhere
CH-Aws,30,1332.9461333333334,1158,918,1332.9461333333334,1.1510761082325849,1.45201103848947,1.3015435733610274,elsewhere
CH-Cha,30,1182.5493666666666,1194,1136,1182.5493666666666,0.990409854829704,1.0409765551643193,1.0156932049970115,1
CH-Crs,30,905.8019,1016,957,905.8019,0.8915373031496063,0.9465014629049112,0.9190193830272588,1
CH-Dav,30,879.0585333333333,1094,876,873.3136333333333,0.8035269957343084,1.0034914764079148,0.9035092360711117,1
CH-For,30,1072.3002333333334,1238,1151,1072.3002333333334,0.8661552773290253,0.9316248769186215,0.8988900771238234,1
CH-Frk,30,1197.6444666666666,1224,1450,1197.6444666666666,0.9784677015250545,0.8259617011494252,0.9022147013372399,1
CH-Fru,30,1503.4292,1398,1492,1503.4292,1.0754143061516452,1.0076603217158178,1.0415373139337314,1
CH-Lae,30,883.6265666666667,1160,1100,883.6265666666667,0.761747040229885,0.8032968787878788,0.7825219595088819,elsewhere
CH-Oe1,30,1175.8516666666667,1126,1100,1175.8516666666667,1.0442732386027236,1.0689560606060606,1.0566146496043922,1
CH-Oe2,30,1148.4836666666667,1126,1155,1148.4836666666667,1.0199677323860272,0.994358152958153,1.00716294267209,1
CH-Oe3,30,1160.5129666666667,1126,1100,1160.512966666667,1.0306509473060983,1.055011787878788,1.0428313675924432,1
CH-Rh1,30,1677.0118333333332,1351,1407,1677.0118333333332,1.241311497656057,1.1919060649135276,1.2166087812847923,elsewhere
CH-Rh2,30,1677.0118333333332,1351,1407,1677.0118333333332,1.241311497656057,1.1919060649135276,1.2166087812847923,elsewhere
CH-Rtb,30,1436.3975666666668,1275,1434,1436.3975666666668,1.1265863267973857,1.0016719432821943,1.06412913503979,1
CH-Tnk,30,1168.7216333333333,1094,1169,1168.721633333333,1.0683013101767216,0.999761876247505,1.0340315932121134,1
CL-ACF,30,3172.8040666666666,1914,4500,3172.8040666666666,1.6576823754789272,0.7050675703703704,1.1813749729246488,elsewhere
CL-SDF,30,1506.9242333333334,2409,2110,1506.9242333333334,0.6255393247543932,0.7141821011058452,0.6698607129301193,elsewhere
CL-SDP,30,1421.9918333333333,2354,2110,1421.9918333333333,0.6040746955536674,0.6739297788309636,0.6390022371923155,elsewhere
CN-Aro,30,2471.6720666666665,411,400,2471.6720666666665,6.013800648824006,6.179180166666666,6.0964904077453355,elsewhere
CN-Ash,30,1466.8425666666667,988,NA,1466.8425666666667,1.4846584682861,NA,1.4846584682861,elsewhere
CN-BeO,30,532.4038666666667,546,NA,532.4038666666667,0.9750986568986569,NA,0.9750986568986569,1
CN-DaW,30,311.1937,419,NA,311.1937,0.7427057279236277,NA,0.7427057279236277,elsewhere
CN-Dan,30,372.06173333333334,419,NA,372.06173333333334,0.8879754972155927,NA,0.8879754972155927,1
CN-Dda,30,1158.7745666666667,261,NA,1158.7745666666667,4.439749297573436,NA,4.439749297573436,4
CN-Din,30,1502.0699,1835,NA,1502.0699,0.8185667029972752,NA,0.8185667029972752,elsewhere
CN-Dmn,30,1534.9443999999999,222,130,1534.9444,6.914163963963963,11.807264615384614,9.360714289674288,elsewhere
CN-Dsh,30,2499.1318333333334,345,380,2499.131833333334,7.24386038647343,6.576662719298246,6.910261552885838,8
CN-Du2,30,476.4095,399,NA,476.4095,1.1940087719298245,NA,1.1940087719298245,elsewhere
CN-Dzo,30,1668.2482666666667,1647,NA,1668.2482666666667,1.0129011940902652,NA,1.0129011940902652,1
CN-Erg,30,357.0635666666667,360,NA,357.0635666666667,0.9918432407407408,NA,0.9918432407407408,1
CN-GuT,30,52.5306,568,NA,52.5306,0.09248345070422535,NA,0.09248345070422535,elsewhere
CN-Ha2,30,457.11086666666665,468,NA,457.11086666666665,0.976732621082621,NA,0.976732621082621,1
CN-HaM,30,3057.3432333333335,468,567,3057.3432333333335,6.532784686609687,5.392139741328631,5.962462213969159,elsewhere
CN-HaW,30,470.30376666666666,468,NA,470.30376666666666,1.0049225783475784,NA,1.0049225783475784,1
CN-HeD,30,151.21866666666665,34,37,151.21866666666665,4.447607843137255,4.086990990990991,4.267299417064123,4
CN-HeM,30,152.75446666666667,41,37,152.75446666666667,3.725718699186992,4.128499099099099,3.927108899143046,4
CN-Huz,30,1534.9443999999999,260,130,1534.9444,5.903632307692307,11.807264615384614,8.855448461538462,8
CN-Jng,30,2983.7575666666667,481,400,2983.7575666666667,6.2032381843381845,7.4593939166666665,6.8313160505024255,8
CN-Jzh,30,570.5362333333334,549,NA,570.5362333333334,1.0392281117182758,NA,1.0392281117182758,1
CN-Lch,30,427.3243,475,NA,427.3243,0.8996301052631579,NA,0.8996301052631579,1
CN-Lsh,30,453.5005,587,724,453.5005,0.7725732538330494,0.626381906077348,0.6994775799551987,elsewhere
CN-Mxn,30,945.7413,798,NA,945.7413,1.1851394736842105,NA,1.1851394736842105,elsewhere
CN-Nmn,30,326.66613333333333,431,NA,326.66613333333333,0.7579260634184068,NA,0.7579260634184068,elsewhere
CN-Qng,30,4503.760066666667,875,NA,4503.760066666667,5.147154361904762,NA,5.147154361904762,elsewhere
CN-Sb1,30,2080.9931333333334,446,452,2080.9931333333334,4.665903886397609,4.603967109144543,4.634935497771076,elsewhere
CN-Sb2,30,2080.9931333333334,460,452,2080.9931333333334,4.523898115942029,4.603967109144543,4.563932612543287,4
CN-Sdq,30,152.75446666666667,41,37,152.75446666666667,3.725718699186992,4.128499099099099,3.927108899143046,4
CN-SnB,30,880.7532666666667,1021,1022,880.7532666666667,0.86263787136794,0.8617938030006523,0.8622158371842962,1
CN-Wnb,30,127.28223333333334,127,NA,127.28223333333334,1.0022223097112861,NA,1.0022223097112861,1
CN-Xi2,30,321.5742666666667,322,NA,321.5742666666667,0.9986778467908903,NA,0.9986778467908903,1
CN-YaS,30,311.3360666666667,309,NA,311.3360666666667,1.0075600862998921,NA,1.0075600862998921,1
CN-Yan,30,343.61196666666666,321,NA,343.61196666666666,1.0704422637590862,NA,1.0704422637590862,1
CN-You,30,2649.448966666667,452,400,2649.448966666667,5.861612758112095,6.623622416666667,6.242617587389381,elsewhere
CN-Yuc,30,545.4328,607,NA,545.4328,0.8985713344316311,NA,0.8985713344316311,1
CN-Zha,30,631.1700666666667,188,130,631.1700666666667,3.3572875886524822,4.855154358974359,4.1062209738134205,4
