site_id,ERA_VARIABLE,ERA_SLOPE,ERA_INTERCEPT,ERA_RMSE,ERA_CORRELATION
BE-Vie,PA,1,-0,0.15,0.94
BE-Vie,VPD,1,0,1.2,0.93
BE-Vie,WS,1,0.08,1.05,0.63
BE-Vie,P,1,-9999,-9999,-9999
BE-Vie,SW_IN,1,3.72,72.56,0.89
BE-Vie,LW_IN,1,0,9.39,0.88
BE-Vie,LW_IN_JSB,1,-0.2,22.82,0.79
BJ-Bfg,TA,1,0,1.09,0.83
BJ-Bfg,PA,1,0,0.04,0.87
BJ-Bfg,VPD,1,0,2.26,0.91
BJ-Bfg,WS,1,0.12,0.27,0.42
BJ-Bfg,P,1,-9999,-9999,-9999
BJ-Bfg,SW_IN,1,19.28,67.97,0.83
BJ-Bfg,LW_IN,1,0,4.8,0.83
BJ-Bfg,LW_IN_JSB,1,-0.05,14.72,0.74
BJ-Db1,TA,1,-0,0.48,0.73
BJ-Db1,PA,1,0,0.03,0.86
BJ-Db1,VPD,1,-0,0.88,0.79
BJ-Db1,WS,1,0.03,0.16,0.45
BJ-Db1,P,1,-9999,-9999,-9999
BJ-Db1,SW_IN,1,21.69,39.45,0.77
BJ-Db1,LW_IN,1,0,3.21,0.57
BJ-Db1,LW_IN_JSB,1,0.01,8.64,0.42
BJ-Nhu,TA,1,-0,1.19,0.83
BJ-Nhu,PA,1,0,0.04,0.86
BJ-Nhu,VPD,1,-0,2.68,0.89
BJ-Nhu,WS,1,0.07,0.33,0.43
BJ-Nhu,P,1,-9999,-9999,-9999
BJ-Nhu,SW_IN,1,22.14,76.4,0.83
BJ-Nhu,LW_IN,1,0,7.09,0.83
BJ-Nhu,LW_IN_JSB,1,-0,13.86,0.81
BR-CST,TA,1,-0,0.26,0.9
BR-CST,PA,1,-0,0.01,0.95
BR-CST,VPD,1,0.01,0.75,0.87
BR-CST,WS,1,0.01,0.08,0.65
BR-CST,P,1,-9999,-9999,-9999
BR-CST,SW_IN,1,13.27,22.82,0.9
BR-CST,LW_IN,-9999,-9999,-9999,-9999
BR-CST,LW_IN_JSB,1,0.13,4,0.57
BR-ITA,TA,1,-0,0.58,0.9
BR-ITA,PA,1,-0,0.03,0.95
BR-ITA,VPD,1,-0,1.04,0.82
BR-ITA,WS,1,0.02,0.21,0.71
BR-ITA,P,1,-9999,-9999,-9999
BR-ITA,SW_IN,1,12.02,36.27,0.88
BR-ITA,LW_IN,1,0.02,4.66,0.86
BR-ITA,LW_IN_JSB,1,0.12,6.73,0.83
BR-Ji3,TA,1,-0,0.61,0.85
BR-Ji3,PA,1,-0,0.1,0.41
BR-Ji3,VPD,1,-0,1.44,0.84
BR-Ji3,WS,1,0.16,0.36,0.32
BR-Ji3,P,-9999,-9999,-9999,-9999
BR-Ji3,SW_IN,1,15.31,58.48,0.84
BR-Ji3,LW_IN,-9999,-9999,-9999,-9999
BR-Ji3,LW_IN_JSB,1,0,9.16,0.62
BR-Ma2,TA,1,0,1.11,0.77
BR-Ma2,PA,1,0,0.15,0.43
BR-Ma2,VPD,1,-0,2.36,0.78
BR-Ma2,WS,1,0.23,0.64,0.37
BR-Ma2,P,1,-9999,-9999,-9999
BR-Ma2,SW_IN,1,15.87,97.1,0.83
BR-Ma2,LW_IN,1,-0.01,10.1,0.58
BR-Ma2,LW_IN_JSB,1,-0,14.24,0.35
BR-Ma3,TA,1,0,0.78,0.75
BR-Ma3,PA,1,-0,0.04,0.86
BR-Ma3,VPD,1,-0,1.42,0.79
BR-Ma3,WS,1,0.19,0.34,0.4
BR-Ma3,P,1,-9999,-9999,-9999
BR-Ma3,SW_IN,1,14.1,68.72,0.84
BR-Ma3,LW_IN,1,0,5.9,0.59
BR-Ma3,LW_IN_JSB,1,0.08,9.71,0.36
BR-Npw,TA,1,0,0.9,0.79
BR-Npw,PA,1,0,0.07,0.51
BR-Npw,VPD,1,-0,1.52,0.8
BR-Npw,WS,1,0.12,0.22,0.52
BR-Npw,P,1,-9999,-9999,-9999
