site_id,nee_annual_ref,nee_annual_25,nee_annual_75,half_width_site,location_lat,location_long
FI-Qvd,92.427580185984,19.916587497600005,137.62670392512,58.85505821376,60.295242,22.391607
FI-Rk2,296.2116696384,270.681485004288,311.83015167359997,20.57433333465599,61.182884,25.262684
FI-Ruk,383.97345398496,360.3837292128,418.10531958575996,28.860795186479976,64.68398,25.106318
FI-Sar,-123.40239114240003,-137.8362790656,-110.39500627200003,13.720636396799982,63.15143,27.199064
FI-Sii,-29.994643007999997,-33.5153116207543,-26.530345475382866,3.4924830726857152,61.83265,24.19285
FI-Sod,149.8354920576,135.67053377664,158.14198944,11.235727831679995,67.36239,26.63859
FI-Var,13.041644020416005,1.300351764384006,22.306107738816003,10.502877987216,67.7549,29.61
FR-Aur,-181.5010717342386,-198.26999282310695,-167.3670361341344,15.451478344486276,43.54965,1.106103
FR-Bil,-451.56321605072293,-464.6677166151447,-435.1231835796829,14.772266517730884,44.493652,-0.956092
FR-CLt,111.07936892505597,90.403503110784,123.19050076047357,16.393498824844784,45.0414,6.41053
FR-EM2,-244.4772965402058,-284.2414879856914,-214.42143093630165,34.910028524694866,49.87211,3.02065
FR-FBn,-607.0011372792943,-637.6511284255391,-585.7714870240786,25.93982070073025,43.24079,5.67865
FR-Fon,-314.39438838143997,-335.92957517952004,-287.99599448448,23.966790347520032,48.476357,2.780096
FR-Gri,-383.1713522986271,-414.1947247535525,-356.81377068697066,28.690477033290932,48.84422,1.95191
FR-LBr,-323.7045636928732,-346.2668794359771,-305.6629666852718,20.30195637535266,44.71711,-0.7693
FR-LGt,199.84874704045714,165.61344429092568,217.5851838072137,25.985869758144005,47.322918,2.284102
FR-Lam,-191.5397071776,-213.13725384959997,-166.75943040000004,23.188911724799965,43.496437,1.237878
FR-Lqu,-99.56440995839999,-113.93980784639999,-83.98680550848,14.976501168959992,45.6444,2.7349
FR-Lus,-340.90413655104,-351.98844098688005,-332.4508463808001,9.768797303039975,46.414246,0.1206518
FR-Mau,-216.29804987231995,-235.50876859392,-186.34998367007998,24.57939246192001,43.385,1.29306
FR-Mej,164.38005505464682,144.69733313033143,181.3810978121143,18.34188234089143,48.1184,-1.79635
FR-Nzn,97.94165119183542,68.57361058422855,135.90985566235884,33.668122539065145,48.005814,-2.81721
FR-Pue,-220.16217890765154,-246.3318837426327,-205.82091854559653,20.255482598518086,43.7413,3.5957
FR-Tou,118.62024770236114,87.62009579670857,139.71885548070858,26.049379842000008,43.572857,1.37474
GF-Guy,-219.51161905326862,-276.3921983197386,-180.32030615598384,48.035946081877384,5.2787,-52.9248
GL-Dsk,-20.21645497536001,-27.198301841280017,-9.757438778880003,8.720431531200006,69.25349,-53.51413
HK-MPM,-1048.39150176,-1113.12111168,-1002.5526093696001,55.28425115519997,22.498167,114.029236
ID-JOP,-781.5427572362605,-817.6487518746515,-755.1654325594149,31.2416596576183,-1.69306,103.39139
ID-PaB,-150.99732273141615,-226.0203604373102,-101.58738839699915,62.21648602015552,-2.340796,114.0379
ID-PaD,-295.99967534458983,-385.6146659430703,-222.50594849587313,81.55435872359858,-2.3460708,114.03641
ID-Pag,-587.808799196791,-695.0156614669029,-551.5622319324507,71.7267147672261,-2.3239167,113.90439
IE-CaC,-169.20415078272003,-181.77292415231997,-162.043021442304,9.864951355007989,52.85879,-6.918136
IE-CaN,-184.57262536319993,-198.85799790719992,-181.26686321279988,8.79556734720002,52.85879,-6.918136
IE-Cra,-29.676745547135997,-35.49565765439999,-23.994084522239994,5.750786566079999,53.32308,-7.64177
IL-Yat,-86.9612016642111,-96.2846764081306,-80.09428874989584,8.095193829117378,31.345045,35.051987
IT-Arz,-86.74862368587429,-105.89072096262855,-68.90113809380571,18.494791434411418,45.61902,10.00228
