value,area_km2
-94.79999999999995,70789.43302040093
-94.69999999999993,48915.36865217502
-94.59999999999991,45914.71822643406
-94.5,45611.56525720797
-94.39999999999998,40545.954604718485
-94.29999999999995,60202.519492136635
-94.19999999999993,46708.878750679556
-94.09999999999991,51821.66016603186
-94,40143.5090668924
-93.89999999999998,48913.373950313806
-93.79999999999995,59401.55725303409
-93.69999999999993,65808.26157230267
-93.59999999999991,85092.38795975168
-93.5,30385.940350983008
-93.39999999999998,54310.241320175526
-93.29999999999995,70847.73613176848
-93.19999999999993,46118.969656727
-93.09999999999991,57999.10054204096
-93,53912.57965252094
-92.89999999999998,74114.44840674518
-92.79999999999995,55776.27235695219
-92.69999999999993,63198.592654001935
-92.59999999999991,51907.99347325669
-92.5,83353.37875855828
-92.39999999999998,47471.33192525869
-92.29999999999995,53439.54045090963
-92.19999999999993,35566.38207466405
-92.09999999999991,59296.30212209212
-92,61784.90473609229
-91.89999999999998,49921.04651084706
-91.79999999999995,51771.44876734299
-91.69999999999993,61006.883046104944
-91.59999999999991,53787.61483031798
-91.5,72387.33540397216
-91.39999999999998,65653.73103950072
-91.29999999999995,71016.07281035687
-91.19999999999993,69161.77046723207
-91.09999999999991,78860.15209195596
-91,54130.22419242136
-90.89999999999998,58952.30885343807
-90.79999999999995,50309.44789804356
-90.69999999999993,68958.4066357989
-90.59999999999991,57532.44739221239
-90.5,48694.32122594253
-90.39999999999998,63389.73748793313
