site_id,location_lat,location_long,diff,axis,biomass_percentile
JP-Toc,42.70973,141.5659,465.2300844421387,nee,92.12
JP-Tmk,42.739307,141.51483,280.4310844421387,nee,72.84
JP-Tmd,42.735912,141.52315,114.26408444213865,nee,73.48
JP-Tgf,36.11353,140.09488,418.91254846191396,nee,44.519999999999996
JP-Tef,45.05581,142.10712,-19.339220733642577,nee,82.84
JP-Tak,36.146168,137.42311,279.39484985351567,nee,83.44
JP-Ta2,36.140038,137.37071,646.3958498535156,nee,22.64
JP-Srk,40.565483,140.12779,739.612649017334,nee,95.6
JP-Spp,42.986843,141.38533,339.1089392700195,nee,28.64
JP-Shn,35.865753,137.93256,214.05209820556638,nee,4.84
JP-SMF,35.261528,137.07875,-3.0539760009765615,nee,25.4
JP-Om2,34.542454,135.50822,346.2477783203125,nee,15.120000000000001
JP-Nuf,35.152416,136.9719,140.31246881713867,nee,68.8
JP-NsM,36.91604,139.936,261.80224850463867,nee,28.16
JP-NsC,36.915054,139.93684,357.5417485046387,nee,28.16
JP-Mse,36.05393,140.02693,117.48054846191405,nee,29.12
JP-MMF,44.321884,142.26152,695.9583532104492,nee,48.24
JP-MBF,44.38406,142.31862,267.9558532104492,nee,57.4
JP-Kzw,36.406788,138.57257,95.36791290283202,nee,45.16
JP-Khw,33.13658,130.70834,831.3911701660156,nee,53.480000000000004
JP-Hc3,34.539673,133.91173,590.4826457519532,nee,10.96
JP-Fmt,35.638744,139.37975,271.2177430419922,nee,36.720000000000006
JP-Fjy,35.45454,138.76225,363.17703985595705,nee,65.52
JP-Fhk,35.443554,138.7647,82.80203985595705,nee,72.56
JP-Api,40.001358,140.93658,197.89954418945314,nee,55.48
ID-Pag,-2.3239167,113.90439,732.3944530639649,nee,41
ID-PaD,-2.3460708,114.03641,204.39198657226564,nee,32.84
ID-PaB,-2.340796,114.0379,56.81948657226562,nee,32.84
CN-Lsh,45.27984,127.57821,138.83600631713867,nee,78.36
CN-HaM,37.607433,101.332,88.21139926147461,nee,91.36
UK-AMo,55.792545,-3.2436917,-10.498182403564456,nee,26.8
SE-Svb,64.25611,19.7745,51.19584614868164,nee,96.44
SE-Sto,68.35594,19.045208,10.616138479614253,nee,96.88
SE-Nor,60.0865,17.479504,191.92667535400392,nee,48.84
SE-Htm,56.09763,13.41897,97.29981439208984,nee,74.76
SE-Deg,64.18203,19.55654,18.61194614868164,nee,25.28
NO-Hur,60.37163,11.07949,-6.742856805419919,nee,51.800000000000004
NL-Loo,52.166447,5.74355,456.1265131530762,nee,95.76
IT-TrF,45.82376,7.56089,838.7319264221192,nee,68.88
IT-Tor,45.84444,7.578055,2.887126422119138,nee,48.559999999999995
IT-SR2,43.73202,10.29091,183.0123620300293,nee,83.52000000000001
IT-Ren,46.58686,11.43369,629.3851832275391,nee,77.88000000000001
IT-Noe,40.606174,8.151694,40.12211705322267,nee,93.47999999999999
IT-MBo,46.01468,11.045831,-62.44817318115234,nee,4.2
IT-Lsn,45.740482,12.750297,-1.5710899963378893,nee,83.64
IT-Cp2,41.704266,12.357293,621.0443290252686,nee,93.47999999999999
IT-BFt,45.197754,10.741966,-47.147003100585934,nee,99.48
IT-BCi,40.52375,14.957444,3.136648602294919,nee,25.8
IE-Cra,53.32308,-7.64177,-10.229155883789062,nee,66.47999999999999
GL-Dsk,69.25349,-53.51413,0.1890724777984616,nee,98.83999999999999
GF-Guy,5.2787,-52.9248,67.6822940246582,nee,77.64
FR-Tou,43.572857,1.37474,12.366921600341797,nee,34.52
FR-Pue,43.7413,3.5957,164.76940805053712,nee,85.08
FR-Mej,48.1184,-1.79635,-5.219167108154295,nee,60.480000000000004
FR-Lus,46.414246,0.1206518,223.81857849121093,nee,29.28
FR-Lqu,45.6444,2.7349,54.822091021728504,nee,6.12
FR-Lam,43.496437,1.237878,57.720987060546875,nee,46.28
FR-LGt,47.322918,2.284102,203.83751422119144,nee,86.08
FR-Hes,48.6741,7.06465,433.1765393371582,nee,52.559999999999995
FR-Gri,48.84422,1.95191,230.83463800048833,nee,16.400000000000002
FR-Fon,48.476357,2.780096,345.16564791870115,nee,86.04
FR-FBn,43.24079,5.67865,530.6225855407715,nee,91.52
FR-EM2,49.87211,3.02065,94.6369966430664,nee,5.08
FR-CLt,45.0414,6.41053,71.379148046875,nee,25.6
FR-Bil,44.493652,-0.956092,355.9885990600586,nee,46
FR-Aur,43.54965,1.106103,102.21392160034179,nee,88.84
FI-Var,67.7549,29.61,-17.111144405517575,nee,97.16
FI-Sod,67.36239,26.63859,135.38365515136718,nee,79.24
FI-Sii,61.83265,24.19285,-17.007454986572267,nee,14.680000000000001
FI-Let,60.64183,23.95952,48.79956635131836,nee,95.72
