axis,site_id,location_lat,location_long,n_measured_years,stat_measured_years,stat_full_34yr,paired_diff
nee,US-UiE,40.0629,-88.2033,4,44.771711587905884,45.558631896972656,-0.7869203090667725
nee,US-UiF,40.0665,-88.2015,4,44.771711587905884,45.558631896972656,-0.7869203090667725
nee,US-UiG,40.0629,-88.2009,4,44.771711587905884,45.558631896972656,-0.7869203090667725
nee,US-UMd,45.5625,-84.6975,15,25.835402244577804,29.353097915649418,-3.517695671071614
nee,US-UTB,40.7848,-113.8299,1,NA,7.734132766723633,NA
nee,US-UTW,39.4453,-110.7288,1,NA,17.76900863647461,NA
nee,US-Var,38.4133,-120.9508,23,37.806225251325444,37.63893127441406,0.16729397691138104
nee,US-Vcm,35.8885,-106.5322,11,34.27607791549103,32.967247009277344,1.3088309062136858
nee,US-Vcp,35.8641,-106.5965,15,30.65115916940073,32.967247009277344,-2.3160878398766123
nee,US-WCr,45.8058,-90.0795,11,58.7948691628196,54.42844009399414,4.366429068825461
nee,US-Whs,31.7438,-110.0522,16,28.14035315811634,26.135007858276367,2.0053452998399734
nee,US-Wjs,34.4258,-105.8617,15,31.551309688886008,27.884550094604492,3.6667595942815154
nee,US-Wkg,31.7365,-109.9419,19,22.988497548981716,20.214353561401367,2.7741439875803486
nee,US-WPT,41.4646,-82.9962,3,58.307006200154625,50.49251556396485,7.814490636189774
nee,US-xAB,45.7624,-122.3303,2,NA,55.1087532043457,NA
nee,US-xAE,35.4106,-99.0588,4,49.52884563803673,43.58831024169922,5.940535396337509
nee,US-xBL,39.0603,-78.0716,3,57.25238037109375,60.5860595703125,-3.33367919921875
nee,US-xBN,65.154,-147.5026,3,27.751250902811687,35.2994270324707,-7.548176129659016
nee,US-xBR,44.0639,-71.2873,4,64.33562694489956,50.10931015014648,14.226316794753082
nee,US-xCL,33.4012,-97.57,3,78.99216842651367,61.13059997558594,17.861568450927734
nee,US-xCP,40.8155,-104.7456,2,NA,36.24602890014648,NA
nee,US-xDC,47.1617,-99.1066,5,36.71222270727158,39.45013427734375,-2.7379115700721712
nee,US-xDJ,63.881100000000004,-145.7514,4,27.353355765342712,27.92876625061035,-0.5754104852676392
nee,US-xDL,32.5417,-87.8039,3,68.58802596728006,68.69799041748047,-0.10996445020040824
nee,US-xDS,28.125,-81.4362,3,50.57185657819112,59.167388916015625,-8.595532337824508
nee,US-xGR,35.689,-83.5019,1,NA,59.668182373046875,NA
nee,US-xHA,42.5369,-72.1727,3,58.09913762410481,57.04385757446289,1.0552800496419223
nee,US-xHE,63.8757,-149.2133,2,NA,30.57876205444336,NA
nee,US-xJE,31.1948,-84.4686,3,95.46585528055826,74.03142547607422,21.43442980448404
nee,US-xJR,32.5907,-106.8425,5,15.563887906074525,16.812679290771484,-1.2487913846969594
nee,US-xKA,39.1104,-96.6129,2,NA,52.32865905761719,NA
nee,US-xKZ,39.1008,-96.5631,4,48.30509531497955,52.32865905761719,-4.023563742637634
nee,US-xLE,31.8539,-88.1612,1,NA,81.80547332763672,NA
nee,US-xMB,38.2483,-109.3883,3,15.622354507446289,33.458717346191406,-17.836362838745117
nee,US-xML,37.3783,-80.5248,1,NA,64.19834899902344,NA
nee,US-xNG,46.7697,-100.9154,3,29.955345312754314,40.45231246948242,-10.496967156728108
