site_id,cancellation_ratio
AU-RDF,6.823265987478549
AU-TTE,129.95089802619253
AU-APL,1.9546160229628766
AU-ASM,40.73484767503395
AU-DaS,5.830365939591346
AU-Wrr,3.7331974761381033
AU-GWW,10.105941873510343
AU-Boy,11.21836088275224
AU-Wom,6.213294651262302
AU-Cum,3.6222502316504297
NZ-BFm,17.18662876252812
AU-Rig,29.94315005455591
NZ-Lau,3.1149267192554366
AU-Dry,6.0535714523127515
AU-Ync,37.08106737522092
AU-MvA,3.8755707364765297
AU-Wel,8.589756920133329
AU-Ya1,3.6222502316504297
AU-Lon,918.1726537998546
AU-Whr,166.0556180676397
AU-Ade,3.768832813762696
AU-MvB,3.8755707364765297
AU-Cow,1.9901340674941215
NZ-ScF,1.99768921487651
AU-Otw,42.45580014285108
